track,fold,feature_set,model,accuracy,precision,recall,f1,error_rate,roc_auc
binary,3,svd,DecisionTree,0.9467779806939733,0.8970380818053597,0.8292046936114733,0.8617886178861789,0.05322201930602666,0.8728645590150118
binary,3,svd,LogisticRegression,0.8066788416384033,1.0,0.03389830508474576,0.06557377049180328,0.1933211583615967,0.5362928225709744
binary,3,svd,LDA_Classifier,0.8069397338899035,0.9655172413793104,0.03650586701434159,0.07035175879396985,0.19306026611009652,0.5347811000237283
binary,3,svd,MLP_ANN,0.9702582833289851,0.9394347240915208,0.910039113428944,0.9245033112582781,0.029741716671014884,0.9834018817650114
binary,3,filter_kbest,KNN,0.9269501695799635,0.9534450651769087,0.6675358539765319,0.7852760736196319,0.07304983042003654,0.9293104929278599
binary,3,filter_kbest,SVM,0.9501695799634751,0.9311377245508982,0.8109517601043025,0.8668989547038327,0.049830420036524936,0.9756389419728172
binary,3,filter_kbest,DecisionTree,0.9259066005739629,0.8631578947368421,0.7483702737940026,0.8016759776536313,0.0740933994260371,0.8300604859114261
binary,3,filter_kbest,LogisticRegression,0.8038090268719019,1.0,0.01955671447196871,0.03836317135549872,0.19619097312809808,0.5057981257191845
binary,3,filter_kbest,LDA_Classifier,0.8043308113749021,1.0,0.02216427640156454,0.04336734693877551,0.19566918862509786,0.504800091171115
binary,3,filter_kbest,MLP_ANN,0.9366031828854683,0.861878453038674,0.8135593220338984,0.8370221327967807,0.06339681711453171,0.9640456672033175
binary,3,wrapper_sfs,KNN,0.9321680146099661,0.9439579684763573,0.7027379400260756,0.8056801195814649,0.06783198539003388,0.9200113793798493
binary,3,wrapper_sfs,SVM,0.9428645969214714,0.9241486068111455,0.7783572359843546,0.8450106157112527,0.0571354030785286,0.9767598704213517
binary,3,wrapper_sfs,DecisionTree,0.9287764153404644,0.8611111111111112,0.7679269882659713,0.8118538938662991,0.0712235846595356,0.8539688776512552
binary,3,wrapper_sfs,LogisticRegression,0.7998956430994,0.0,0.0,0.0,0.20010435690060002,0.5017779217918527
binary,3,wrapper_sfs,LDA_Classifier,0.8001565353509,1.0,0.001303780964797914,0.0026041666666666665,0.19984346464909997,0.5020419948444095
binary,3,wrapper_sfs,MLP_ANN,0.942081920166971,0.9085457271364318,0.7900912646675359,0.8451882845188284,0.05791807983302899,0.9736768919494715
binary,3,embedded_l1,KNN,0.915992695016958,0.9847494553376906,0.5893089960886571,0.7373572593800979,0.08400730498304199,0.908367288620365
